"lon","lat","cell_ID","MeanPrecip","DryPrecip","WetPrecip","SeasonalPrecip","Elevation","NDVI","MeanTemp","MaxTemp","MinTemp","DiurnalTemp","Forested land","Shrubland","Grassland","Waterbodies","Wetlands","Barren Land","Cultivated","Built-up","Mines & Quarries"
19.625,-34.625,83,562,80,212,39.1300201416016,196,0.718500018119812,15.8999996185303,25.1000003814697,7.69999980926514,9.28333282470703,0.211275282550031,0.612653966387902,0.00724610575253159,0.0163104176129532,0.010447003500147,0.0147447030218826,0.117578218932856,0.0096040291767975,0.000140273064899671
19.875,-34.625,84,486,73,180,37.6046829223633,19,0.619499981403351,17.2458343505859,26.7000007629395,9.19999980926514,9.34166717529297,0.085358876320593,0.526152580341833,0.0146008490513856,0.028224217323967,0.0218943594778472,0.025313381547652,0.296504231428729,0.00192039106145251,3.11134465401847e-05
20.125,-34.625,85,457,72,162,35.0560760498047,12,0.480399996042252,17.4375,27.1000003814697,9,9.72500038146973,0.0327772596967499,0.651009106713179,0.00575645586525288,0.0126526899918258,0.000195719499418598,0.205459422742606,0.0602700929091977,0.0318792525817705,0
19.125,-34.375,149,642,67,277,53.2052574157715,16,0.68529999256134,16.529167175293,24.1000003814697,9,8.19166660308838,0.142986188498295,0.506500523418769,0.055051835342586,0.0126549150710836,0.00612906493769628,0.0375004221119103,0.0192567453483267,0.219768344983622,0.000151960287711478
19.375,-34.375,150,722,96,286,43.9836082458496,772,0.605300009250641,13.9916667938232,23.2999992370605,5.59999990463257,9.41666698455811,0.340471360735195,0.45122838643109,0.0272375884140129,0.0425270524045299,0.0106694021019625,0.0293905392614927,0.0299335445801344,0.0677652570944498,0.000776868977132551
19.625,-34.375,151,560,76,217,41.9802856445312,102,0.299499988555908,16.5750007629395,26.5,7.5,9.91666698455811,0.0831809787054711,0.176294446234827,0.0151115132584678,0.00196305064577704,0.00692516340679409,0.00276045927431683,0.710180697753208,0.00347575134072073,0.000107939380417627
19.875,-34.375,152,495,79,178,34.3454856872559,155,0.294800013303757,16.904167175293,28.1000003814697,7.09999990463257,11.1083335876465,0.0382197326265028,0.0800407088122605,0.0107294143876338,0.00073645379178227,0.00198692859030255,0.00185584291187739,0.860583671885322,0.00568364793896155,0.000163599055357379
20.375,-34.375,154,429,76,142,28.0663299560547,71,0.344199985265732,17.7749996185303,27.8999996185303,8.10000038146973,10.3333339691162,0.0284325488677053,0.72983173826372,0.00723863217663231,0.00656608123045528,0.00499010364015985,0.0608874129639952,0.152416341511805,0.00913169480476537,0.000505446540761665
20.625,-34.375,155,425,76,134,25.1527061462402,112,0.606800019741058,17.375,26.7999992370605,7.80000019073486,10.0666666030884,0.11299225672388,0.782085140406561,0.0172281836437722,0.00135681922806677,0.000808105569657417,0.0481599564449626,0.0368778335359536,0.000476026914048637,1.56775330974102e-05
20.875,-34.375,156,421,76,127,23.5886707305908,38,0.616999983787537,17.6083335876465,27.3999996185303,7.69999980926514,10.3166666030884,0.0802533196770423,0.628607668776157,0.00918408182921949,0.0589232783238033,0.00367634590209525,0.0269236943432658,0.180199734561495,0.0116214132452457,0.000610463341676332
21.125,-34.375,157,437,82,127,21.6061725616455,83,0,17.1875,25.7999992370605,7.90000009536743,9.64166641235352,0.055385446685879,0.825130583573487,0.0231898414985591,0.0114598342939481,0,0.0735770893371758,0.00880313400576369,0.00245407060518732,0
21.375,-34.375,158,459,92,128,18.9454555511475,100,0.673699975013733,17.220832824707,26.7999992370605,7.5,10.8083333969116,0.142064661249188,0.684021606551664,0.0100999540623168,0.00574062633654897,0,0.0231114068019452,0.0963867636110187,0.0378589871532893,0.000715994234028735
18.375,-34.125,214,538,47,260,68.7301559448242,13,0.531700015068054,16.7041664123535,24.2000007629395,9.60000038146973,7.64166641235352,0.0528245521568758,0.713805380158867,0.0306526978915594,0.00586638556902482,0.0258966757842853,0.0499830216468794,0.000602054484889266,0.120271320332567,9.79119750511955e-05
18.875,-34.125,216,695,63,321,61.3533020019531,32,0.684599995613098,17.220832824707,27.1000003814697,7.90000009536743,9.90833377838135,0.106320276733723,0.634232853011663,0.0767422776500147,0.0284433277838001,0.0117091774421042,0.0482629285551064,0.0166688617153123,0.0775752704693915,4.50266388852305e-05
19.125,-34.125,217,746,96,304,46.6796836853027,901,0.600000023841858,13.1166667938232,23.5,4.09999990463257,10.5166664123535,0.139646741820302,0.507652906365308,0.0285389120496839,0.0307745987057299,0.0147173590021662,0.0131920825629019,0.231074731982843,0.0332640423599182,0.00113862515114675
19.375,-34.125,218,723,86,299,49.1432037353516,459,0.497099995613098,15.6791667938232,27.2999992370605,5.59999990463257,11.6583337783813,0.0795580373005445,0.516898968739929,0.0556016923242189,0.0415308386425048,0.0149932447507375,0.022040808316187,0.25881849244321,0.00999239776229786,0.000565519720369865
19.625,-34.125,219,589,81,228,41.8692054748535,300,0.673600018024445,16.4125003814697,28.2999992370605,5.80000019073486,12.0249996185303,0.0545728652046302,0.502777173376554,0.162128316935253,0.0027810495839279,0.0138432286016556,0.0413767048206065,0.213498401193665,0.00896695972517173,5.53005585356412e-05
19.875,-34.125,220,485,74,174,34.3079414367676,326,0.683600008487701,16.7333335876465,27.2999992370605,6.5,10.6000003814697,0.057633948122991,0.561453142946859,0.132638389647735,0.00324799408347588,0.0071524042076733,0.108418651924936,0.12408432286373,0.005134609187139,0.000236537015460638
