cell_id,lon_centroid,lat_centroid
758,18.375,-32.125
759,18.625,-32.125
760,18.875,-32.125
761,19.125,-32.125
762,19.375,-32.125
763,19.625,-32.125
764,19.875,-32.125
765,20.125,-32.125
766,20.375,-32.125
767,20.625,-32.125
768,20.875,-32.125
769,21.125,-32.125
770,21.375,-32.125
771,21.625,-32.125
772,21.875,-32.125
773,22.125,-32.125
774,22.375,-32.125
775,22.625,-32.125
776,22.875,-32.125
777,23.125,-32.125
778,23.375,-32.125
779,23.625,-32.125
780,23.875,-32.125
781,24.125,-32.125
782,24.375,-32.125
783,24.625,-32.125
784,24.875,-32.125
785,25.125,-32.125
786,25.375,-32.125
787,25.625,-32.125
788,25.875,-32.125
789,26.125,-32.125
790,26.375,-32.125
791,26.625,-32.125
792,26.875,-32.125
793,27.125,-32.125
794,27.375,-32.125
795,27.625,-32.125
796,27.875,-32.125
797,28.125,-32.125
798,28.375,-32.125
799,28.625,-32.125
800,28.875,-32.125
826,18.375,-31.875
827,18.625,-31.875
828,18.875,-31.875
829,19.125,-31.875
830,19.375,-31.875
831,19.625,-31.875
832,19.875,-31.875
833,20.125,-31.875
834,20.375,-31.875
835,20.625,-31.875
836,20.875,-31.875
837,21.125,-31.875
838,21.375,-31.875
839,21.625,-31.875
840,21.875,-31.875
841,22.125,-31.875
842,22.375,-31.875
843,22.625,-31.875
844,22.875,-31.875
845,23.125,-31.875
846,23.375,-31.875
847,23.625,-31.875
848,23.875,-31.875
849,24.125,-31.875
850,24.375,-31.875
851,24.625,-31.875
852,24.875,-31.875
853,25.125,-31.875
854,25.375,-31.875
855,25.625,-31.875
856,25.875,-31.875
857,26.125,-31.875
858,26.375,-31.875
859,26.625,-31.875
860,26.875,-31.875
861,27.125,-31.875
862,27.375,-31.875
863,27.625,-31.875
864,27.875,-31.875
865,28.125,-31.875
866,28.375,-31.875
867,28.625,-31.875
868,28.875,-31.875
869,29.125,-31.875
894,18.375,-31.625
895,18.625,-31.625
896,18.875,-31.625
897,19.125,-31.625
898,19.375,-31.625
899,19.625,-31.625
900,19.875,-31.625
901,20.125,-31.625
902,20.375,-31.625
903,20.625,-31.625
904,20.875,-31.625
905,21.125,-31.625
906,21.375,-31.625
907,21.625,-31.625
908,21.875,-31.625
909,22.125,-31.625
910,22.375,-31.625
911,22.625,-31.625
912,22.875,-31.625
913,23.125,-31.625
914,23.375,-31.625
915,23.625,-31.625
916,23.875,-31.625
917,24.125,-31.625
918,24.375,-31.625
919,24.625,-31.625
920,24.875,-31.625
921,25.125,-31.625
922,25.375,-31.625
923,25.625,-31.625
924,25.875,-31.625
925,26.125,-31.625
926,26.375,-31.625
927,26.625,-31.625
928,26.875,-31.625
929,27.125,-31.625
930,27.375,-31.625
931,27.625,-31.625
932,27.875,-31.625
933,28.125,-31.625
934,28.375,-31.625
935,28.625,-31.625
936,28.875,-31.625
937,29.125,-31.625
938,29.375,-31.625
961,18.125,-31.375
962,18.375,-31.375
963,18.625,-31.375
964,18.875,-31.375
965,19.125,-31.375
966,19.375,-31.375
967,19.625,-31.375
968,19.875,-31.375
969,20.125,-31.375
970,20.375,-31.375
971,20.625,-31.375
972,20.875,-31.375
973,21.125,-31.375
974,21.375,-31.375
975,21.625,-31.375
976,21.875,-31.375
977,22.125,-31.375
978,22.375,-31.375
979,22.625,-31.375
980,22.875,-31.375
981,23.125,-31.375
982,23.375,-31.375
983,23.625,-31.375
984,23.875,-31.375
985,24.125,-31.375
986,24.375,-31.375
987,24.625,-31.375
988,24.875,-31.375
989,25.125,-31.375
990,25.375,-31.375
991,25.625,-31.375
992,25.875,-31.375
993,26.125,-31.375
994,26.375,-31.375
995,26.625,-31.375
996,26.875,-31.375
997,27.125,-31.375
998,27.375,-31.375
999,27.625,-31.375
1000,27.875,-31.375
1001,28.125,-31.375
1002,28.375,-31.375
1003,28.625,-31.375
1004,28.875,-31.375
1005,29.125,-31.375
1006,29.375,-31.375
1007,29.625,-31.375
1008,29.875,-31.375
1028,17.875,-31.125
1029,18.125,-31.125
1030,18.375,-31.125
1031,18.625,-31.125
1032,18.875,-31.125
1033,19.125,-31.125
1034,19.375,-31.125
1035,19.625,-31.125
1036,19.875,-31.125
1037,20.125,-31.125
1038,20.375,-31.125
1039,20.625,-31.125
1040,20.875,-31.125
1041,21.125,-31.125
1042,21.375,-31.125
1043,21.625,-31.125
1044,21.875,-31.125
1045,22.125,-31.125
1046,22.375,-31.125
1047,22.625,-31.125
1048,22.875,-31.125
1049,23.125,-31.125
1050,23.375,-31.125
1051,23.625,-31.125
1052,23.875,-31.125
1053,24.125,-31.125
1054,24.375,-31.125
1055,24.625,-31.125
1056,24.875,-31.125
1057,25.125,-31.125
1058,25.375,-31.125
1059,25.625,-31.125
1060,25.875,-31.125
1061,26.125,-31.125
1062,26.375,-31.125
1063,26.625,-31.125
1064,26.875,-31.125
1065,27.125,-31.125
1066,27.375,-31.125
1067,27.625,-31.125
1068,27.875,-31.125
1069,28.125,-31.125
1070,28.375,-31.125
1071,28.625,-31.125
1072,28.875,-31.125
1073,29.125,-31.125
1074,29.375,-31.125
1075,29.625,-31.125
1076,29.875,-31.125
1077,30.125,-31.125
1095,17.625,-30.875
1096,17.875,-30.875
1097,18.125,-30.875
1098,18.375,-30.875
1099,18.625,-30.875
1100,18.875,-30.875
1101,19.125,-30.875
1102,19.375,-30.875
1103,19.625,-30.875
1104,19.875,-30.875
1105,20.125,-30.875
1106,20.375,-30.875
1107,20.625,-30.875
1108,20.875,-30.875
1109,21.125,-30.875
1110,21.375,-30.875
1111,21.625,-30.875
1112,21.875,-30.875
1113,22.125,-30.875
1114,22.375,-30.875
1115,22.625,-30.875
1116,22.875,-30.875
1117,23.125,-30.875
1118,23.375,-30.875
1119,23.625,-30.875
1120,23.875,-30.875
1121,24.125,-30.875
1122,24.375,-30.875
1123,24.625,-30.875
1124,24.875,-30.875
1125,25.125,-30.875
1126,25.375,-30.875
1127,25.625,-30.875
1128,25.875,-30.875
1129,26.125,-30.875
1130,26.375,-30.875
1131,26.625,-30.875
1132,26.875,-30.875
1133,27.125,-30.875
1134,27.375,-30.875
1135,27.625,-30.875
1136,27.875,-30.875
1137,28.125,-30.875
1138,28.375,-30.875
1139,28.625,-30.875
1140,28.875,-30.875
1141,29.125,-30.875
1142,29.375,-30.875
1143,29.625,-30.875
1144,29.875,-30.875
1145,30.125,-30.875
1163,17.625,-30.625
1164,17.875,-30.625
1165,18.125,-30.625
1166,18.375,-30.625
1167,18.625,-30.625
1168,18.875,-30.625
1169,19.125,-30.625
1170,19.375,-30.625
1171,19.625,-30.625
1172,19.875,-30.625
1173,20.125,-30.625
1174,20.375,-30.625
1175,20.625,-30.625
1176,20.875,-30.625
1177,21.125,-30.625
1178,21.375,-30.625
1179,21.625,-30.625
1180,21.875,-30.625
1181,22.125,-30.625
1182,22.375,-30.625
1183,22.625,-30.625
1184,22.875,-30.625
1185,23.125,-30.625
1186,23.375,-30.625
1187,23.625,-30.625
1188,23.875,-30.625
1189,24.125,-30.625
1190,24.375,-30.625
1191,24.625,-30.625
1192,24.875,-30.625
1193,25.125,-30.625
1194,25.375,-30.625
1195,25.625,-30.625
1196,25.875,-30.625
1197,26.125,-30.625
1198,26.375,-30.625
1199,26.625,-30.625
1200,26.875,-30.625
1201,27.125,-30.625
1202,27.375,-30.625
1203,27.625,-30.625
1204,27.875,-30.625
1205,28.125,-30.625
1206,28.375,-30.625
1207,28.625,-30.625
1208,28.875,-30.625
1209,29.125,-30.625
1210,29.375,-30.625
1211,29.625,-30.625
1212,29.875,-30.625
1213,30.125,-30.625
1214,30.375,-30.625
1230,17.375,-30.375
1231,17.625,-30.375
1232,17.875,-30.375
1233,18.125,-30.375
1234,18.375,-30.375
1235,18.625,-30.375
1236,18.875,-30.375
1237,19.125,-30.375
1238,19.375,-30.375
1239,19.625,-30.375
1240,19.875,-30.375
1241,20.125,-30.375
1242,20.375,-30.375
1243,20.625,-30.375
1244,20.875,-30.375
1245,21.125,-30.375
1246,21.375,-30.375
1247,21.625,-30.375
1248,21.875,-30.375
1249,22.125,-30.375
1250,22.375,-30.375
1251,22.625,-30.375
1252,22.875,-30.375
1253,23.125,-30.375
1254,23.375,-30.375
1255,23.625,-30.375
1256,23.875,-30.375
1257,24.125,-30.375
1258,24.375,-30.375
1259,24.625,-30.375
1260,24.875,-30.375
1261,25.125,-30.375
1262,25.375,-30.375
1263,25.625,-30.375
1264,25.875,-30.375
1265,26.125,-30.375
1266,26.375,-30.375
1267,26.625,-30.375
1268,26.875,-30.375
1269,27.125,-30.375
1270,27.375,-30.375
1274,28.375,-30.375
1275,28.625,-30.375
1276,28.875,-30.375
1277,29.125,-30.375
1278,29.375,-30.375
1279,29.625,-30.375
1280,29.875,-30.375
1281,30.125,-30.375
1282,30.375,-30.375
1283,30.625,-30.375
1298,17.375,-30.125
1299,17.625,-30.125
1300,17.875,-30.125
1301,18.125,-30.125
1302,18.375,-30.125
1303,18.625,-30.125
1304,18.875,-30.125
1305,19.125,-30.125
1306,19.375,-30.125
1307,19.625,-30.125
1308,19.875,-30.125
1309,20.125,-30.125
1310,20.375,-30.125
1311,20.625,-30.125
1312,20.875,-30.125
1313,21.125,-30.125
1314,21.375,-30.125
1315,21.625,-30.125
1316,21.875,-30.125
1317,22.125,-30.125
1318,22.375,-30.125
1319,22.625,-30.125
1320,22.875,-30.125
1321,23.125,-30.125
1322,23.375,-30.125
1323,23.625,-30.125
1324,23.875,-30.125
1325,24.125,-30.125
1326,24.375,-30.125
1327,24.625,-30.125
1328,24.875,-30.125
1329,25.125,-30.125
1330,25.375,-30.125
1331,25.625,-30.125
1332,25.875,-30.125
1333,26.125,-30.125
1334,26.375,-30.125
1335,26.625,-30.125
1336,26.875,-30.125
1337,27.125,-30.125
1344,28.875,-30.125
1345,29.125,-30.125
1346,29.375,-30.125
1347,29.625,-30.125
1348,29.875,-30.125
1349,30.125,-30.125
1350,30.375,-30.125
1351,30.625,-30.125
1365,17.125,-29.875
1366,17.375,-29.875
1367,17.625,-29.875
1368,17.875,-29.875
1369,18.125,-29.875
1370,18.375,-29.875
1371,18.625,-29.875
1372,18.875,-29.875
1373,19.125,-29.875
1374,19.375,-29.875
1375,19.625,-29.875
1376,19.875,-29.875
1377,20.125,-29.875
1378,20.375,-29.875
1379,20.625,-29.875
1380,20.875,-29.875
1381,21.125,-29.875
1382,21.375,-29.875
1383,21.625,-29.875
1384,21.875,-29.875
1385,22.125,-29.875
1386,22.375,-29.875
1387,22.625,-29.875
1388,22.875,-29.875
1389,23.125,-29.875
1390,23.375,-29.875
1391,23.625,-29.875
1392,23.875,-29.875
1393,24.125,-29.875
1394,24.375,-29.875
1395,24.625,-29.875
1396,24.875,-29.875
1397,25.125,-29.875
